Tool,Count
"power bi, dax e linguagem m, integração de api, restful api, json, oauth, python, postgresql, power bi, dax e linguagem m, integração de api, restful api, json, oauth, python, postgresql, power bi, dax e linguagem m, integração de api, restful api, json, oauth, python, postgresql, power bi, dax e linguagem m, integração de api, restful api, json, oauth, python, postgresql, power bi, dax e linguagem m, integração de api, restful api, json, oauth, python, postgresql",1
integração de api,1
"dax, linguegem em m, power apps, power automate, power query, api, banco de dados, sql, dax, linguegem em m, power apps, power automate, power query, api, banco de dados, sql, dax, linguegem em m, power apps, power automate, power query, api, banco de dados, sql, dax, linguegem em m, power apps, power automate, power query, api, banco de dados, sql, dax, linguegem em m, power apps, power automate, power query, api, banco de dados, sql",1
linguegem em m,1
linguagem sql,1
"odi, dw, stage, relacional, dimensional, linguagem sql, odi, dw, stage, relacional, dimensional, linguagem sql, odi, dw, stage, relacional, dimensional, linguagem sql, odi, dw, stage, relacional, dimensional, linguagem sql, odi, dw, stage, relacional, dimensional, linguagem sql",1
"power bi, banco de dados, sql, excel., power bi, banco de dados, sql, excel., power bi, banco de dados, sql, excel., power bi, banco de dados, sql, excel., power bi, banco de dados, sql, excel.",1
restful apis,1
"postgre sql, dax e linguagem m, power bi, restful apis, json, oauth, python, postgre sql, dax e linguagem m, power bi, restful apis, json, oauth, python, postgre sql, dax e linguagem m, power bi, restful apis, json, oauth, python, postgre sql, dax e linguagem m, power bi, restful apis, json, oauth, python, postgre sql, dax e linguagem m, power bi, restful apis, json, oauth, python",1
postgre sql,1
"power bi, tableau, qlik, etl, sql, power bi, tableau, qlik, etl, sql, power bi, tableau, qlik, etl, sql, power bi, tableau, qlik, etl, sql, power bi, tableau, qlik, etl, sql",1
qlik,1
sql  power bi,1
power platform,1
"power platform, power apps, power automate, vba, python, sql, excel, power platform, power apps, power automate, vba, python, sql, excel, power platform, power apps, power automate, vba, python, sql, excel, power platform, power apps, power automate, vba, python, sql, excel, power platform, power apps, power automate, vba, python, sql, excel",1
bancos estruturados/não-estruturados,1
"sql, dataviz, excel, power bi., sql, dataviz, excel, power bi., sql, dataviz, excel, power bi., sql, dataviz, excel, power bi., sql, dataviz, excel, power bi.",1
dataviz,1
datastage,1
linux additional information,1
"datastage, oracle, linux additional information, datastage, oracle, linux additional information, datastage, oracle, linux additional information, datastage, oracle, linux additional information, datastage, oracle, linux additional information",1
matemática,1
estatísticas,1
machine learning.,1
"power bi, sql, excel, api, estatísticas, matemática, machine learning., power bi, sql, excel, api, estatísticas, matemática, machine learning., power bi, sql, excel, api, estatísticas, matemática, machine learning., power bi, sql, excel, api, estatísticas, matemática, machine learning., power bi, sql, excel, api, estatísticas, matemática, machine learning.",1
extratores de dados,1
