"link_origem","posicao","senioridade","titulo_vaga","nome_empresa","requisitos"
https://www.mann-hummel.com/de/karriere/stellenangebote/stellenangebote-weltweit.jobdetail.html/product-development-engineer.html,Engenheiro de Dados,Sênior,Engenheiro de Desenvolvimento de Produto Sr.,MANN+HUMMEL,Power BI
https://carreiras.klabin.com.br/job/Tel%C3%AAmaco-Borba-Supervisora-%28or%29-de-Colheita-Florestal-PR-84275-000/1237261400/,Engenheiro de Dados,Sênior,Supervisora (or) de Colheita Florestal,Klabin,Excel
https://bluefit.99jobs.com/vagas/420880-estagiario-de-inteligencia-de-mercado?source=indeed&ittk=WI23YSXM0D,Engenheiro de Dados,Júnior,ESTAGIÁRIO DE INTELIGÊNCIA DE MERCADO,Bluefit,"Power BI, Excel"
https://rhfpoaboavista.pandape.infojobs.com.br/Detail/1681213?ov=5&xtor=AL-366332663&source=Indeed&utm_source=indeed&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats,Engenheiro de Dados,Não Informado,Gestor de Estoque (1118),RHF Talentos Porto Alegre - Boa Vista/ RS,Excel
https://softplan.gupy.io/job/eyJqb2JJZCI6ODE1MDE5MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Não Informado,Pessoa Coordenadora de Sistemas (Presencial Porto Alegre/ RS) - Cód. 0191,Softplan,"Power BI, SQL, SQL Server, Oracle"
https://www.netvagas.com.br/empresa/anuncios/a1198921/especialista-em-dados-financas/?utm_id=indeed&utm_campaign=indeed&utm_source=indeed&utm_medium=referral,Engenheiro de Dados,Não Informado,Especialista em dados - finanças,Netvagas,"SAS, Tableau, Excel, Linguagem R, Python, SQL, ETL, AWS, Spark, Hadoop"
https://www.netvagas.com.br/empresa/anuncios/a1163459/engenheiro-de-dados-azure-pleno/?utm_id=indeed&utm_campaign=indeed&utm_source=indeed&utm_medium=referral,Engenheiro de Dados,Sênior,Engenheiro de dados azure pleno,Netvagas,"Power BI, Python, SQL, ETL, Databricks, Spark, Azure"
https://www.capco.com/Careers/Job%20Search/Office%20Detail,Engenheiro de Dados,Não Informado,Projetos - Baixa / Híbrido,CAPCO,"Estatística, Excel"
https://www.funbio.org.br/trabalhe-conosco/funbio-abre-oportunidade-para-estagio-contratos/,Engenheiro de Dados,Júnior,Estágio – Contratos,FUNBIO,Excel
https://www.netvagas.com.br/empresa/anuncios/a1237924/estagio-em-analise-de-dados-frasle-mobility-unidade-jurid/?utm_id=indeed&utm_campaign=indeed&utm_source=indeed&utm_medium=referral,Engenheiro de Dados,Júnior,Estágio em analise de dados - frasle mobility unidade jurid,Netvagas,"Power BI, Excel, Python, SQL, Machine Learning"
