"vaga_id","link_site","link_origem","data_publicacao","data_coleta","link_origem","posicao","senioridade","titulo_vaga","nome_empresa","requisitos"
21,https://mjvcarreiras.gupy.io/job/eyJqb2JJZCI6ODE4OTY4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://mjvcarreiras.gupy.io/job/eyJqb2JJZCI6ODE4OTY4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-26","2024-11-26",https://mjvcarreiras.gupy.io/job/eyJqb2JJZCI6ODE4OTY4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Não Informado,Analista de Dados,MJV Technology & Innovation,"SAS, Power BI, Azure, Teradata"
22,https://almapbbdo.gupy.io/job/eyJqb2JJZCI6ODE1Njc0OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://almapbbdo.gupy.io/job/eyJqb2JJZCI6ODE1Njc0OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-26",https://almapbbdo.gupy.io/job/eyJqb2JJZCI6ODE1Njc0OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Sênior,Pessoa Analista de Dados Sênior,AlmapBBDO,"Power BI, Excel, SQL, ETL, Power Point, AWS, GCP, Git"
23,https://gruposbftalentos.gupy.io/job/eyJqb2JJZCI6ODE3OTQ5MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://gruposbftalentos.gupy.io/job/eyJqb2JJZCI6ODE3OTQ5MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-26",https://gruposbftalentos.gupy.io/job/eyJqb2JJZCI6ODE3OTQ5MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Não Informado,Analista de Dados - Supply Chain,Grupo SBF ,"SAS, Power BI, Excel, Python"
24,https://inmetrics.gupy.io/job/eyJqb2JJZCI6ODE4NTY3Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://inmetrics.gupy.io/job/eyJqb2JJZCI6ODE4NTY3Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-25","2024-11-26",https://inmetrics.gupy.io/job/eyJqb2JJZCI6ODE4NTY3Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Analista de Dados,Pleno,ANALISTA DE ENGENHARIA DE DADOS PL - HÍBRIDO SP,Vagas Inmetrics,"SAS, Power BI, Excel, Python, SQL, ETL, Git, Bash"
25,https://programa-formacao.gupy.io/job/eyJqb2JJZCI6ODE0OTU3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,https://programa-formacao.gupy.io/job/eyJqb2JJZCI6ODE0OTU3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,"2024-11-26","2024-11-26",https://programa-formacao.gupy.io/job/eyJqb2JJZCI6ODE0OTU3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Pleno,Engenheiro(a) de Dados Senior,EQI Investimentos,"SAS, Power BI, Excel, Python, SQL, Azure"
26,"https://www.glassdoor.com.br/job-listing/analista-de-business-intelligence-bi-são-paulo-vila-olímpia-premierpet-JV_IC2479061_KO0,59_KE60,70.htm?jl=1009515738642","https://www.glassdoor.com.br/job-listing/analista-de-business-intelligence-bi-são-paulo-vila-olímpia-premierpet-JV_IC2479061_KO0,59_KE60,70.htm?jl=1009515738642","2024-11-05","2024-11-26","https://www.glassdoor.com.br/job-listing/analista-de-business-intelligence-bi-são-paulo-vila-olímpia-premierpet-JV_IC2479061_KO0,59_KE60,70.htm?jl=1009515738642",Engenheiro de Dados,Não Informado,Analista de Business Intelligence (BI) - São Paulo (Vila Olímpia),PremieRpet®,"Power BI, Tableau, SQL, ETL"
27,https://www.vagas.com.br/vagas/v2691924/analista-de-dados-pleno,https://www.vagas.com.br/vagas/v2691924/analista-de-dados-pleno,"2024-10-31","2024-11-26",https://www.vagas.com.br/vagas/v2691924/analista-de-dados-pleno,Analista de Dados,Pleno,Analista de Dados Pleno,Somar Diversidade,"Power BI, Excel"
28,https://www.vagas.com.br/vagas/v2683093/analista-de-dados-sr,https://www.vagas.com.br/vagas/v2683093/analista-de-dados-sr,"2024-10-01","2024-11-26",https://www.vagas.com.br/vagas/v2683093/analista-de-dados-sr,Analista de Dados,Sênior,Analista de Dados Sr,Marjan Farma,"Power BI, Python, SQL, ETL, Machine Learning, Azure"
29,https://www.vagas.com.br/vagas/v2692982/analista-dados-jr,https://www.vagas.com.br/vagas/v2692982/analista-dados-jr,"2024-11-05","2024-11-26",https://www.vagas.com.br/vagas/v2692982/analista-dados-jr,Analista de Dados,Júnior,Analista Dados Jr,Confidencial,"Power BI, Excel"
30,https://www.vagas.com.br/vagas/v2692134/analista-de-dados,https://www.vagas.com.br/vagas/v2692134/analista-de-dados,"2024-11-01","2024-11-26",https://www.vagas.com.br/vagas/v2692134/analista-de-dados,Analista de Dados,Júnior,Analista de Dados,Allp Fit Acamademia,"Excel, SQL"
